177.08, 

00:19:24 --> -20.83, -26.04, -10.42, -5.21, -41.67, 5.21, -15.63, -31.25, 0.00, -15.63, -15.63, -20.83, -36.46, -10.42, -15.63, -15.63, -15.63, -26.04, 5.21, 20.83, 20.83, 36.46, 15.63, 15.63, 10.42, 67.71, 20.83, 20.83, 26.04, 57.29, 57.29, 83.33, 26.04, 67.71, 36.46, 52.08, 52.08, 46.88, 52.08, 36.46, 41.67, 36.46, 20.83, 41.67, 41.67, 57.29, 26.04, 31.25, 20.83, 15.63, 62.50, 5.21, 10.42, -10.42, -15.63, -10.42, -10.42, 46.88, 15.63, 

00:20:26 --> 0.00, -10.42, 36.46, 10.42, 10.42, 26.04, 20.83, 36.46, 26.04, 31.25, 26.04, -26.04, -10.42, 5.21, 20.83, 36.46, 57.29, 62.50, 10.42, 52.08, 15.63, 10.42, 20.83, 15.63, 52.08, 36.46, 10.42, 20.83, -26.04, -20.83, 0.00, 20.83, 20.83, 10.42, 41.67, 26.04, 31.25, 62.50, 36.46, 57.29, 57.29, 26.04, 20.83, 20.83, 10.42, 5.21, 26.04, 46.88, 36.46, 41.67, 41.67, 31.25, 41.67, 52.08, 62.50, 57.29, 52.08, 72.92, 5.21, 

00:21:27 --> 41.67, 52.08, 36.46, 31.25, 20.83, 36.46, 20.83, 46.88, 57.29, 31.25, 26.04, 52.08, 46.88, 31.25, 52.08, 57.29, 57.29, 31.25, 52.08, 46.88, 67.71, 41.67, 15.63, 15.63, 31.25, -15.63, 10.42, 20.83, 31.25, 36.46, 10.42, 20.83, 20.83, 20.83, 10.42, 31.25, 31.25, 52.08, 41.67, 15.63, 46.88, 20.83, 31.25, 10.42, 0.00, -5.21, -31.25, -10.42, -10.42, -15.63, -67.71, -15.63, 10.42, 36.46, 10.42, 36.46, 41.67, 20.83, 62.50, 

00:22:28 --> 36.46, 26.04, 72.92, 46.88, 41.67, 36.46, 36.46, 52.08, 15.63, 5.21, 10.42, 31.25, 26.04, 41.67, 20.83, 15.63, 36.46, -5.21, 20.83, 15.63, 26.04, 36.46, 15.63, 5.21, 20.83, 26.04, 31.25, 52.08, 52.08, 15.63, 36.46, -5.21, 10.42, 5.21, 0.00, 5.21, 20.83, 20.83, 15.63, 15.63, 26.04, 15.63, 15.63, 26.04, 31.25, 20.83, 36.46, 15.63, 31.25, 41.67, 41.67, 15.63, 31.25, 26.04, 31.25, 0.00, 0.00, 5.21, 10.42, 

00:23:29 --> 26.04, 41.67, 41.67, 52.08, 52.08, 57.29, 36.46, 20.83, 31.25, -31.25, -5.21, -20.83, -15.63, -20.83, -20.83, -15.63, -20.83, -5.21, -10.42, -20.83, 15.63, 15.63, 10.42, 15.63, 26.04, 5.21, 52.08, 52.08, 46.88, 10.42, 5.21, 36.46, 46.88, 15.63, 5.21, 46.88, 36.46, 46.88, 36.46, 62.50, 46.88, 41.67, 20.83, 52.08, 36.46, 41.67, 20.83, 36.46, 20.83, 62.50, 31.25, 31.25, 36.46, 31.25, 15.63, 15.63, 20.83, 10.42, -10.42, 

00:24:30 --> -10.42, 0.00, 0.00, -31.25, 0.00, 10.42, 20.83, 20.83, 52.08, 31.25, 10.42, 10.42, 36.46, 5.21, 41.67, 36.46, 31.25, 57.29, 62.50, 20.83, 20.83, 20.83, 20.83, 41.67, 46.88, 31.25, 36.46, -15.63, 0.00, -31.25, 0.00, 41.67, 57.29, 31.25, 41.67, 36.46, 36.46, 36.46, 78.12, 46.88, 46.88, -20.83, -31.25, -10.42, -10.42, -31.25, -15.63, 10.42, 0.00, 36.46, 93.75, 20.83, 31.25, 20.83, 5.21, 26.04, 10.42, 15.63, 15.63, 

00:25:32 --> 10.42, 41.67, 15.63, 0.00, 26.04, 15.63, 52.08, 20.83, 10.42, 5.21, -10.42, -15.63, -20.83, -15.63, -20.83, -20.83, -20.83, -10.42, -15.63, -15.63, -5.21, -10.42, -20.83, 5.21, 0.00, -5.21, -15.63, 10.42, -15.63, -26.04, 10.42, 20.83, 31.25, 88.54, 20.83, 10.42, 26.04, 88.54, 36.46, 83.33, 15.63, -31.25, -15.63, -26.04, 0.00, -15.63, 5.21, -15.63, -5.21, -15.63, 46.88, 0.00, 31.25, 93.75, 36.46, 41.67, 26.04, 67.71, 57.29, 

